Date,DHT Allocation,MPL Allocation,MPL Invested,MPL BTC Invested,MPL ETH Invested,DHT Invested,DHT BTC Invested,DHT ETH Invested
2021-09-27,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-09-28,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-09-29,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-09-30,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-01,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-02,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-03,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-04,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-05,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-06,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-07,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-08,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-09,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-10,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-11,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-12,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-13,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-14,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-15,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-16,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-17,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-18,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-19,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-20,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-21,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-22,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-23,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-24,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-25,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-26,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-27,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-28,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-29,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-30,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-10-31,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-01,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-02,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-03,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-04,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-05,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-06,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-07,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-08,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-09,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-10,0,672.3776927,10137.23927,0.2339117324,3.30923288,0,0,0
2021-11-11,0,672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-12,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-13,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-14,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-15,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-16,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-17,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-18,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-19,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-20,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-21,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-22,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-23,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-24,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-25,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-26,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-27,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-28,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-29,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-11-30,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-01,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-02,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-03,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-04,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-05,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-06,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-07,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-08,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-09,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-10,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-11,"10,444.87",672.3776927,10137.23927,0.2339117324,3.30923288,10059.40777,0.1547468714,2.125412438
2021-12-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-23,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-24,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-25,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-26,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-27,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-28,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-29,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-30,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2021-12-31,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-01,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-02,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-03,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-04,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-05,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-06,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-07,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-08,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-09,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-10,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-11,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-12,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-13,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-14,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-15,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-16,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-17,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-18,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-19,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-20,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-21,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-22,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-23,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-24,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-25,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-26,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-27,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-28,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-29,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-30,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-01-31,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-01,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-02,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-03,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
2022-02-04,"10,444.87",891.0192711,14523.30318,0.3229827936,4.384298609,10059.40777,0.1547468714,2.125412438
