"Date","Price (Open)"
"2021-11-08","63335.587420062206"
"2021-11-07","61499.70875575299"
"2021-11-06","61038.386277607286"
"2021-11-05","61443.05835868411"
"2021-11-04","62936.75095505137"
"2021-11-03","63258.522393649204"
"2021-11-02","60961.61779186686"
"2021-11-01","61355.95441768421"
"2021-10-31","61890.73830804285"
"2021-10-30","62285.50669350917"
"2021-10-29","60616.182184770034"
"2021-10-28","58476.418968678845"
"2021-10-27","60342.47767325313"
"2021-10-26","63074.48528271551"
"2021-10-25","60889.29477707668"
"2021-10-24","61332.072297814295"
"2021-10-23","60689.590479905186"
"2021-10-22","62193.7754417282"
"2021-10-21","65900.09588417868"
"2021-10-20","64273.65274780132"
"2021-10-19","62020.712829278644"
"2021-10-18","61528.62158910993"
"2021-10-17","60890.2476957662"
"2021-10-16","61627.82240227991"
"2021-10-15","57318.67394353445"
"2021-10-14","57391.01291242284"
"2021-10-13","56030.30157006574"
"2021-10-12","57485.67996344806"
"2021-10-11","54711.15400745007"
"2021-10-10","54968.216604926594"
"2021-10-09","53963.009964548335"
"2021-10-08","53870.13372932518"
"2021-10-07","55318.576150252455"
"2021-10-06","51504.86290110748"
"2021-10-05","49233.161039240535"
"2021-10-04","48212.060639851"
"2021-10-03","48101.933191707765"
"2021-10-02","48145.56384925969"
"2021-10-01","43788.11104035416"
"2021-09-30","41560.89723050923"
"2021-09-29","41646.97960103797"
"2021-09-28","43063.458566007204"
"2021-09-27","43171.270638226255"
"2021-09-26","42687.59351558346"
"2021-09-25","42846.536754091256"
"2021-09-24","44887.896373594755"
"2021-09-23","43567.97224967588"
"2021-09-22","40721.528814727935"
"2021-09-21","42842.03676720981"
"2021-09-20","47246.92423742848"
"2021-09-19","47975.572892413635"
"2021-09-18","47282.77494651382"
"2021-09-17","47772.7600663211"
"2021-09-16","48172.47628357706"
"2021-09-15","47098.42097542261"
"2021-09-14","44948.11188025382"
"2021-09-13","46043.93422930513"
"2021-09-12","45193.97060775189"
"2021-09-11","44850.64914399945"
"2021-09-10","46393.44023938422"
"2021-09-09","46297.169421285056"
"2021-09-08","46805.80777554879"
"2021-09-07","52663.58558039088"
"2021-09-06","51780.91187117846"
"2021-09-05","49941.30922895529"
"2021-09-04","50064.94866074365"
"2021-09-03","49718.560692540465"
"2021-09-02","48841.19610567588"
"2021-09-01","47006.33516854569"
"2021-08-31","47029.18184509581"
"2021-08-30","48835.14322584142"
"2021-08-29","48901.589127785184"
"2021-08-28","49071.13366698264"
"2021-08-27","46899.495444932545"
"2021-08-26","48971.08935285695"
"2021-08-25","47727.11408103037"
"2021-08-24","49517.37559653661"
"2021-08-23","49311.59994696529"
"2021-08-22","48886.85918236112"
"2021-08-21","49326.874461014435"
"2021-08-20","46745.815632839294"
"2021-08-19","44801.34210677887"
"2021-08-18","44674.721570370784"
"2021-08-17","46097.06783779848"
"2021-08-16","47056.23929198293"
"2021-08-15","47102.72862579556"
"2021-08-14","47824.19844078444"
"2021-08-13","44267.325712950274"
"2021-08-12","45896.61804368654"
"2021-08-11","45619.63618081452"
"2021-08-10","46396.46320250564"
"2021-08-09","44209.13937963192"
"2021-08-08","44551.447132254056"
"2021-08-07","42864.08294523916"
"2021-08-06","40884.83000238811"
"2021-08-05","39749.98807747049"
"2021-08-04","38136.04453901897"
"2021-08-03","39152.28128390174"
"2021-08-02","39978.23399812239"
"2021-08-01","41561.59902283489"
"2021-07-31","42262.10991347686"
"2021-07-30","40012.70963688073"
"2021-07-29","39999.63790198583"
"2021-07-28","39464.274156288964"
"2021-07-27","37327.27183059199"
"2021-07-26","35372.15364800145"
"2021-07-25","34300.96828029872"
"2021-07-24","33589.95369121592"
"2021-07-23","32188.993717477548"
"2021-07-22","32102.782330120328"
"2021-07-21","29793.123401650842"
"2021-07-20","30867.65078088612"
"2021-07-19","31785.862809705723"
"2021-07-18","31530.537666717086"
"2021-07-17","31411.627364796863"
"2021-07-16","31756.448598912568"
"2021-07-15","32855.790391070266"
"2021-07-14","32735.40260724191"
"2021-07-13","33145.08669858695"
"2021-07-12","34228.390813185666"
"2021-07-11","33517.714361712046"
"2021-07-10","33794.917724723506"
"2021-07-09","32877.28756280011"
"2021-07-08","34049.45342560156"
"2021-07-07","34227.294387719514"
"2021-07-06","33685.2126100696"
"2021-07-05","35282.94933624328"
"2021-07-04","34667.73381514874"
"2021-07-03","33806.74007304999"
"2021-07-02","33557.67256842808"
"2021-07-01","35026.7219656388"
"2021-06-30","35865.49752358096"
"2021-06-29","34468.11705059078"
"2021-06-28","34716.047616820884"
"2021-06-27","32177.703945537385"
"2021-06-26","31627.640411140823"
"2021-06-25","34672.038125496445"
"2021-06-24","33653.45917505667"
"2021-06-23","32488.858263946633"
"2021-06-22","31685.110865307728"
"2021-06-21","35604.00294223903"
"2021-06-20","35550.719616700364"
"2021-06-19","35701.93095835863"
"2021-06-18","38031.89534515107"
"2021-06-17","38340.040866877156"
"2021-06-16","40143.31357861727"
"2021-06-15","40878.684478474235"
"2021-06-14","39020.78743672261"
"2021-06-13","35528.0674321506"
"2021-06-12","37320.399298527416"
"2021-06-11","36689.356779585454"
"2021-06-10","37335.206175034604"
"2021-06-09","33454.84241740969"
"2021-06-08","33567.021436506024"
"2021-06-07","35837.74875719012"
"2021-06-06","35620.45166024299"
"2021-06-05","36879.49782905084"
"2021-06-04","39206.960453125204"
"2021-06-03","37562.27446252463"
"2021-06-02","36683.37035272656"
"2021-06-01","37299.4090155537"
"2021-05-31","35656.93755255656"
"2021-05-30","34642.82153056805"
"2021-05-29","35770.10122153266"
"2021-05-28","38418.17000702835"
"2021-05-27","39302.58829631822"
"2021-05-26","38375.44291694619"
"2021-05-25","38720.2846280006"
"2021-05-24","34841.88434488381"
"2021-05-23","37512.233985633764"
"2021-05-22","37329.21229657508"
"2021-05-21","40860.051387165026"
"2021-05-20","36990.08319428142"
"2021-05-19","43024.414989414436"
"2021-05-18","43705.25265451585"
"2021-05-17","46471.92245065877"
"2021-05-16","46950.80066925657"
"2021-05-15","49904.848025961495"
"2021-05-14","49820.500418213356"
"2021-05-13","48698.05972399642"
"2021-05-12","56755.75447394687"
"2021-05-11","56044.038075778226"
"2021-05-10","58298.14130254903"
"2021-05-09","58855.23903504314"
"2021-05-08","57380.12526769658"
"2021-05-07","56431.63976285535"
