"Date","Price (Open)"
"2021-11-02","34841.683323087454"
"2021-11-01","34095.003780991916"
"2021-10-31","33825.24289836432"
"2021-10-30","34886.08655218246"
"2021-10-29","34221.50781053808"
"2021-10-28","33942.59197418788"
"2021-10-27","37562.686661877095"
"2021-10-26","34819.765004145294"
"2021-10-25","34539.96228335638"
"2021-10-24","35798.44690239079"
"2021-10-23","34612.334404639514"
"2021-10-22","34303.09735118897"
"2021-10-21","36035.090663446696"
"2021-10-20","34753.13321787097"
"2021-10-19","33847.61823576231"
"2021-10-18","34453.85192483995"
"2021-10-17","35121.17635057844"
"2021-10-16","36014.290164973696"
"2021-10-15","35324.982468855385"
"2021-10-14","34623.66846582403"
"2021-10-13","34872.72107575627"
"2021-10-12","35441.487300233515"
"2021-10-11","32634.770338656803"
"2021-10-10","33972.59528698336"
"2021-10-09","34618.63737689058"
"2021-10-08","32212.870772244238"
"2021-10-07","32058.409235697247"
"2021-10-06","31893.617416163994"
"2021-10-05","30790.865898387186"
"2021-10-04","31370.555402479782"
"2021-10-03","32330.408407152394"
"2021-10-02","31679.247979280262"
"2021-10-01","29182.15656326572"
"2021-09-30","28598.055339891143"
"2021-09-29","28495.930352990377"
"2021-09-28","29282.35988956214"
"2021-09-27","30383.933881663717"
"2021-09-26","30244.992553743436"
"2021-09-25","29292.91447779943"
"2021-09-24","31290.13433170678"
"2021-09-23","30527.916791177915"
"2021-09-22","27396.78950764113"
"2021-09-21","29482.893892998087"
"2021-09-20","32990.566740492905"
"2021-09-19","33723.22755397007"
"2021-09-18","33245.197492348634"
"2021-09-17","34780.96127167162"
"2021-09-16","36594.024225836685"
"2021-09-15","35654.06822851769"
"2021-09-14","32752.3398010986"
"2021-09-13","33304.916487942945"
"2021-09-12","32962.523075490666"
"2021-09-11","32784.144185679"
"2021-09-10","34331.956739191104"
"2021-09-09","34845.24739647952"
"2021-09-08","34535.87933573019"
"2021-09-07","42302.49982815108"
"2021-09-06","42970.92088131648"
"2021-09-05","41521.0926064632"
"2021-09-04","40445.29492438796"
"2021-09-03","38695.197431282235"
"2021-09-02","40020.52523933475"
"2021-09-01","38317.16295411413"
"2021-08-31","36924.99484594762"
"2021-08-30","37502.63602978075"
"2021-08-29","38085.8787613464"
"2021-08-28","37801.76032327274"
"2021-08-27","36153.571037368616"
"2021-08-26","38295.112922456974"
"2021-08-25","37102.9014812389"
"2021-08-24","39981.3614580423"
"2021-08-23","39513.02900293785"
"2021-08-22","38986.39505454755"
"2021-08-21","39799.52876974365"
"2021-08-20","39123.41031196539"
"2021-08-19","37193.781522084726"
"2021-08-18","37868.78"
"2021-08-17","39346.00605446074"
"2021-08-16","39869.3095420553"
"2021-08-15","39547.074932939686"
"2021-08-14","40205.99100823867"
"2021-08-13","36943.832512829125"
"2021-08-12","37962.82345601024"
"2021-08-11","34903.31660207208"
"2021-08-10","33962.66743732914"
"2021-08-09","32766.903814714573"
"2021-08-08","34652.76871929944"
"2021-08-07","33215.36273499966"
"2021-08-06","32943.66584988935"
"2021-08-05","33000.45988582382"
"2021-08-04","31813.977988479743"
"2021-08-03","32018.35707833658"
"2021-08-02","32076.030449801976"
"2021-08-01","33135.33805424869"
"2021-07-31","31368.644251652757"
"2021-07-30","30835.81904226894"
"2021-07-29","29848.454741262784"
"2021-07-28","29615.54152807976"
"2021-07-27","30044.211839635424"
"2021-07-26","29985.98018682575"
"2021-07-25","29534.430587245468"
"2021-07-24","29429.473195522165"
"2021-07-23","28295.719086506328"
"2021-07-22","28266.181651564828"
"2021-07-21","25789.007549133803"
"2021-07-20","26851.291595311006"
"2021-07-19","27981.316993127224"
"2021-07-18","27667.01431308458"
"2021-07-17","27659.738352424756"
"2021-07-16","30074.545671623553"
"2021-07-15","31612.02222493534"
"2021-07-14","32329.731517163535"
"2021-07-13","32877.99646403654"
"2021-07-12","33795.44166310905"
"2021-07-11","33166.31536610955"
"2021-07-10","33487.97568555602"
"2021-07-09","33067.66366310801"
"2021-07-08","35425.97177902602"
"2021-07-07","35919.10524151024"
"2021-07-06","32414.92407960231"
"2021-07-05","33350.466075521574"
"2021-07-04","32636.24750803269"
"2021-07-03","32086.604211786438"
"2021-07-02","32003.693666781688"
"2021-07-01","33863.93704160132"
"2021-06-30","33596.50842177418"
"2021-06-29","31445.82317216441"
"2021-06-28","30270.28481354332"
"2021-06-27","28714.177136672417"
"2021-06-26","28285.97751837574"
"2021-06-25","31349.000994453654"
"2021-06-24","30987.549509724693"
"2021-06-23","28613.610357673275"
"2021-06-22","29442.044016826952"
"2021-06-21","36070.73993341955"
